date,hits,location,hits_ma
2020-04-10,28.085106382978722,AZ,27.75075987841945
2020-04-11,22.23404255319149,AZ,26.580547112462003
2020-04-12,4.680851063829787,AZ,22.23404255319149
2020-04-13,8.191489361702128,AZ,18.89057750759878
2020-04-14,8.191489361702128,AZ,17.887537993920972
2020-04-15,33.93617021276596,AZ,18.38905775075988
2020-04-16,45.638297872340424,AZ,21.565349544072948
2020-04-17,3.5106382978723403,AZ,18.054711246200608
2020-04-18,8.191489361702128,AZ,16.048632218844983
2020-04-19,25.74468085106383,AZ,19.057750759878417
2020-04-20,26.914893617021278,AZ,21.732522796352583
2020-04-21,30.425531914893618,AZ,24.90881458966565
2020-04-22,19.893617021276597,AZ,22.902735562310028
2020-04-23,30.425531914893618,AZ,20.72948328267477
2020-04-24,11.702127659574469,AZ,21.89969604863222
